color_name,hex,R,G,B
Red,#FF0000,255,0,0
Green,#00FF00,0,255,0
Blue,#0000FF,0,0,255
Yellow,#FFFF00,255,255,0
Cyan,#00FFFF,0,255,255
Magenta,#FF00FF,255,0,255
White,#FFFFFF,255,255,255
Black,#000000,0,0,0
Gray,#808080,128,128,128
Orange,#FFA500,255,165,0
Purple,#800080,128,0,128
Pink,#FFC0CB,255,192,203
Brown,#A52A2A,165,42,42
Olive,#808000,128,128,0
Teal,#008080,0,128,128
Navy,#000080,0,0,128
Lime,#00FF00,0,255,0
Indigo,#4B0082,75,0,130
Violet,#EE82EE,238,130,238
Silver,#C0C0C0,192,192,192
